"Period","Year","Month","Product","Origin","Destination / PADD","Mode of Transportation","Volume (m3)","Volume (bbl)","Value (CN$)","Value (US$)","Price (CN cents/L)","Price (US cents/gallon)"
"01/01/1990","1990","January","Butane","Alberta","PADD II","Total","995.000000","6258.351000","131571.500000","112323.796440","13.223266","42.732711"
"01/01/1990","1990","January","Butane","Alberta","PADD II","Railway","995.000000","6258.351000","131571.500000","112323.796440","13.223266","42.732711"
"01/01/1990","1990","January","Butane","Alberta","PADD IV","Railway","837.000000","5264.562600","94630.000000","80786.499020","11.305854","36.536344"
"01/01/1990","1990","January","Butane","Alberta","PADD IV","Pipeline","7004.000000","44053.759200","973556.000000","831133.687620","13.900000","44.919665"
"01/01/1990","1990","January","Butane","Alberta","PADD IV","Total","7841.000000","49318.321800","1068186.000000","911920.186640","13.623083","44.024774"
"01/01/1990","1990","January","Butane","Alberta","PADD V","Railway","20311.300000","127754.014740","2429295.310000","2073911.690020","11.960314","38.651315"
"01/01/1990","1990","January","Butane","Alberta","PADD V","Truck","30.000000","188.694000","3606.000000","3078.475270","12.020000","38.844200"
"01/01/1990","1990","January","Butane","Alberta","PADD V","Total","20341.300000","127942.708740","2432901.310000","2076990.165290","11.960402","38.651603"
"01/01/1990","1990","January","Butane","Alberta","Total","Pipeline","7004.000000","44053.759200","973556.000000","831133.687620","13.900000","44.919665"
"01/01/1990","1990","January","Butane","Alberta","Total","Railway","22143.300000","139276.928340","2655496.810000","2267021.985480","11.992326","38.754770"
"01/01/1990","1990","January","Butane","Alberta","Total","Truck","30.000000","188.694000","3606.000000","3078.475270","12.020000","38.844200"
"01/01/1990","1990","January","Butane","Alberta","Total","Total","29177.300000","183519.381540","3632658.810000","3101234.148370","12.450291","40.234740"
"01/01/1990","1990","January","Butane","British Columbia","PADD II","Railway","1448.000000","9107.630400","157832.000000","134742.626190","10.900000","35.224771"
"01/01/1990","1990","January","Butane","British Columbia","PADD II","Total","1448.000000","9107.630400","157832.000000","134742.626190","10.900000","35.224771"
"01/01/1990","1990","January","Butane","British Columbia","PADD V","Railway","29661.800000","186566.789640","3801054.680000","3244995.247290","12.814646","41.412200"
"01/01/1990","1990","January","Butane","British Columbia","PADD V","Truck","436.700000","2746.755660","14498.440000","12377.451220","3.320000","10.729012"
"01/01/1990","1990","January","Butane","British Columbia","PADD V","Total","30098.500000","189313.545300","3815553.120000","3257372.698510","12.676887","40.967018"
"01/01/1990","1990","January","Butane","British Columbia","Total","Truck","436.700000","2746.755660","14498.440000","12377.451220","3.320000","10.729012"
"01/01/1990","1990","January","Butane","British Columbia","Total","Railway","31109.800000","195674.420040","3958886.680000","3379737.873480","12.725529","41.124211"
